Downdraft air,Updraft air,Feeding rate,Equivalence ratio,Target bed-height,50mm,100mm,200mm,300mm,400mm,500mm,600mm,700mm,800mm,900mm,950mm,CO2,H2,CH4,CO,LHV
20,0,20,0.2,600,602.8041569,653.1284228,729.7585187,915.5117085,108.2248055,66.56461371,44.5240381,37.11052024,94.88483921,84.11121161,67.1253592,16.34783356,14.27646898,3.79223258,17.95448079,5.381568291
20,0,20,0.2,600,595.9052923,651.1558982,724.7879077,823.9468077,116.0073713,67.21397138,49.82661175,40.99091733,97.21240741,84.67940535,67.81056491,16.16643753,14.62665972,3.663726118,17.98572272,5.375475738
20,0,20,0.2,600,589.0110695,644.2512953,716.3718123,802.3439857,125.5352309,73.65767114,50.94540478,45.43967727,98.79437379,85.04299547,68.15264031,16.1033793,14.33047881,3.75357533,17.82736299,5.319121663
20,0,20,0.2,600,581.2584586,639.2250753,718.4584234,773.9069723,143.5789166,88.32964349,58.89833479,57.19558631,103.4481868,85.88745589,69.52675338,16.17556053,15.01758176,3.704169884,17.41282178,5.300793975
20,0,20,0.2,600,589.4774307,638.8052275,694.6037391,728.197236,273.2468843,155.1264124,95.19590676,70.01263129,114.7666217,92.81005125,75.43230445,16.04406401,15.30634584,3.739296612,17.66774199,5.389800085
20,0,20,0.2,600,586.9769653,630.0869877,672.1528824,683.6908039,343.7331641,194.2144069,122.0838542,81.87538157,127.024255,104.0945691,81.0735545,16.38538989,14.31705428,3.663438889,17.69847168,5.258397682
20,0,9,0.44,600,473.4740396,497.6644572,547.0615506,609.4546175,685.2263173,766.7570365,757.9803816,494.4682914,458.6859574,299.4755494,199.2601677,13.17218214,11.48028159,2.091604595,15.94790965,4.166890963
20,0,9,0.44,600,467.3826128,496.9843558,541.2847462,615.3510033,684.8721836,730.4614697,788.6718249,500.5583133,464.8305054,302.7292793,200.4107845,12.92511707,10.38707783,2.080739822,15.18536377,3.968958497
20,0,9,0.44,600,465.8817094,491.9348955,545.3929165,618.8839904,674.701067,722.4332104,834.8257957,506.714931,473.6714503,309.0679015,202.3854053,14.08393282,11.58984086,1.875800164,14.71228835,3.947051796
20,0,9,0.44,600,463.3610575,491.1152079,544.8254514,618.6184044,663.7565097,738.3366711,873.3110764,506.7760161,474.9999461,314.8735291,208.4608157,13.8508719,11.89705889,2.02659375,14.32622694,3.990507634
20,0,9,0.44,600,463.7030487,488.6052365,546.9843723,613.6233243,659.8499553,759.4660689,907.0814535,505.7088282,473.5976052,325.3238895,214.8662387,13.61555165,11.7483078,2.410556535,15.44461881,4.264340866
20,0,9,0.44,600,462.1150379,489.2572509,548.4955677,602.1210158,661.8537306,778.5741164,893.9441421,514.8315829,476.1935754,328.0879301,215.3051223,14.72796618,13.28082124,2.377113333,16.09923005,4.445421413
20,0,9,0.44,600,467.6297235,490.4987346,549.4323175,600.5116508,665.504821,793.0799635,874.5273825,521.256707,481.1559113,330.1259937,215.9950091,14.51546049,11.43881738,2.128462414,14.39836544,3.92395023
20,0,9,0.44,600,465.7599088,494.4271065,549.5448966,598.6314763,676.423306,794.4319594,854.3692999,529.6761539,490.9760629,334.7359413,218.5741057,14.62180557,11.26069218,2.058452821,14.58994139,3.919221206
20,0,9,0.44,600,465.6382738,492.0078885,549.2151213,596.1261831,680.9751926,804.3403334,832.080484,536.1090448,493.8793032,348.6730656,230.2636748,14.69998428,11.53210108,2.326631481,14.87954487,4.108092114
20,0,9,0.44,600,466.1142609,492.7390747,549.6058199,602.8314735,685.7653895,809.1940476,814.2812931,561.2203873,496.2583335,355.794408,233.0432463,13.22683849,12.18655191,2.063288166,14.08252084,3.982392093
20,0,9,0.44,600,468.496826,490.910647,551.6539637,614.4587917,687.2222876,828.2905205,795.186886,534.1219207,497.0349777,357.717193,235.6988116,13.77961715,12.30579784,1.568234205,15.95101557,4.119328988
20,0,9,0.44,600,469.5126335,491.5613039,555.8789582,616.1620241,682.8247051,831.3762135,781.8730521,520.3995229,497.9997034,360.0482074,237.8048582,12.92679283,13.01056706,1.997867882,13.73553025,4.059633615
20,0,9,0.44,600,472.7613491,496.8072921,558.142057,616.9036384,679.8270667,821.2304295,791.9867459,516.1922355,496.4304003,360.9007804,241.1488677,12.64908479,11.83458763,2.431077014,14.80429479,4.24917225
20,0,9,0.44,600,475.4935214,500.4663049,566.1351488,619.262815,679.4351122,830.2732407,771.1285297,517.1967031,493.6080106,367.303408,244.9630789,12.04449085,13.49719176,2.667787827,14.8993785,4.513788496
20,0,9,0.44,600,476.8483623,502.9435317,565.4174566,623.5081707,680.1608317,832.9286686,787.4198122,521.322257,490.0999163,373.9317076,250.3877072,13.31346254,12.50056748,2.432743986,15.02028198,4.33546525
20,0,9,0.44,600,479.4592008,504.5402124,567.3167572,626.3101626,684.89581,834.5178166,802.6081864,523.3015446,490.4057861,374.6846413,249.455717,13.86589341,12.11076868,2.264245939,13.45581816,3.995086143
20,0,9,0.44,600,482.3649546,506.2365851,563.9366363,626.211593,686.0100387,830.1276819,798.5623243,518.708315,493.2672132,378.619363,248.9963517,12.22543063,11.82850517,2.619560374,14.63800918,4.239110624
20,0,9,0.44,600,483.3510628,504.2061935,564.9754541,628.0114416,685.7414287,791.6878173,796.7787541,515.9535962,493.5582121,380.4637351,248.4367482,12.5567542,11.76512091,1.764461577,13.51487037,3.748201964
20,0,9,0.44,600,483.1038393,508.2033225,563.7744492,629.32741,674.7947552,783.9912176,805.3755574,510.1247959,504.8299806,381.8074257,248.3521846,12.94877094,11.62340762,2.217563304,14.56288311,4.051450754
